photo-020.jpg — donterase, stocksnap, CC0 — https://stocksnap.io/photo/crowd-audience-FYXAZHCHGM
photo-049.jpg — автор не указан, rawpixel, CC0 — https://www.rawpixel.com/image/3286021/free-photo-image-microphone-concert-music
photo-002.jpg — автор не указан, rawpixel, CC0 — https://www.rawpixel.com/image/5938996/empty-seats-congress
photo-007.jpg — автор не указан, rawpixel, CC0 — https://www.rawpixel.com/image/5907959/free-lecture-hall-image-public-domain-cc0-photo
photo-064.jpg — Daniel Ebersole, stocksnap, CC0 — https://stocksnap.io/photo/music-concert-D14AE6DFF7
photo-015.jpg — Nainoa Shizuru, stocksnap, CC0 — https://stocksnap.io/photo/concert-show-5FGWJW4Z5D
photo-008.jpg — автор не указан, rawpixel, CC0 — https://www.rawpixel.com/image/5902854/photo-image-public-domain-room-interior
photo-037.jpg — Elsa Tapia, wordpress, CC0 — https://wordpress.org/photos/photo/9426a217db/
photo-029.jpg — Nilo Velez, wordpress, CC0 — https://wordpress.org/photos/photo/untitled-post-submission-621/
